Response Id,You regularly make new friends.,You spend a lot of your free time exploring various random topics that pique your interest,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You are very sentimental.,You like to use organizing tools like schedules and lists.,Even a small mistake can cause you to doubt your overall abilities and knowledge.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are not too interested in discussing various interpretations and analyses of creative works.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,You enjoy participating in group activities.,You like books and movies that make you come up with your own interpretation of the ending.,Your happiness comes more from helping others accomplish things than your own accomplishments.,You are interested in so many things that you find it difficult to choose what to try next.,You are prone to worrying that things will take a turn for the worse.,You avoid leadership roles in group settings.,You are definitely not an artistic type of person.,You think the world would be a better place if people relied more on rationality and less on their feelings.,You prefer to do your chores before allowing yourself to relax.,You enjoy watching people argue.,You tend to avoid drawing attention to yourself.,Your mood can change very quickly.,You lose patience with people who are not as efficient as you.,You often end up doing things at the last possible moment.,"You have always been fascinated by the question of what, if anything, happens after death.",You usually prefer to be around others rather than on your own.,You become bored or lose interest when the discussion gets highly theoretical.,You find it easy to empathize with a person whose experiences are very different from yours.,You usually postpone finalizing decisions for as long as possible.,You rarely second-guess the choices that you have made.,"After a long and exhausting week, a lively social event is just what you need.",You enjoy going to art museums.,You often have a hard time understanding other people’s feelings.,You like to have a to-do list for each day.,You rarely feel insecure.,You avoid making phone calls.,You often spend a lot of time trying to understand views that are very different from your own.,"In your social circle, you are often the one who contacts your friends and initiates activities.","If your plans are interrupted, your top priority is to get back on track as soon as possible.",You are still bothered by mistakes that you made a long time ago.,You rarely contemplate the reasons for human existence or the meaning of life.,Your emotions control you more than you control them.,"You take great care not to make people look bad, even when it is completely their fault.",Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",You would love a job that requires you to work alone most of the time.,You believe that pondering abstract philosophical questions is a waste of time.,"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.",You know at first glance how someone is feeling.,You often feel overwhelmed.,You complete things methodically without skipping over any steps.,You are very intrigued by things labeled as controversial.,You would pass along a good opportunity if you thought someone else needed it more.,You struggle with deadlines.,You feel confident that things will work out for you.,Personality
2094,0,0,0,0,3,0,-1,0,-1,1,-1,-1,-2,2,2,2,-1,0,-1,1,0,0,0,0,0,0,1,0,-3,1,0,0,-2,0,2,0,0,-2,0,0,-2,0,2,2,0,0,0,0,-1,0,0,0,-2,0,-1,0,0,2,0,0,ENFP
2095,0,0,0,2,0,-2,-1,0,-1,0,0,-1,0,1,-2,-1,0,0,2,0,0,0,0,0,-1,1,0,0,0,1,2,0,1,0,1,-1,-3,-2,3,-2,1,1,-1,2,-1,0,-1,0,-1,0,-1,0,-2,0,2,0,0,-3,3,-1,ENFJ
2096,0,0,-2,1,-1,-1,-2,0,-2,0,1,-3,1,-2,-1,-3,-1,-2,3,2,-1,2,0,0,-2,1,-1,0,-1,3,3,1,-1,0,0,-2,-1,-2,1,-2,0,0,2,0,-2,0,-2,0,-2,0,0,0,-2,0,1,-1,0,0,1,-1,ENFJ
2097,0,0,-2,0,2,1,1,0,2,0,0,2,-3,-2,-1,0,1,-2,2,-2,0,-1,1,0,0,0,1,0,-2,-3,-2,0,-2,-1,-2,2,-2,0,-1,-1,1,-1,-2,1,-2,0,-3,0,-1,1,1,-1,2,0,-2,0,0,-3,1,-1,ESTJ
2098,0,0,-1,2,0,-3,-3,-1,2,0,-2,-2,-1,2,2,1,1,-2,1,-1,0,2,0,0,0,1,0,-1,-2,-1,2,0,-1,0,0,2,1,0,0,1,-2,-3,-1,0,0,0,-2,0,-2,0,0,0,2,0,2,0,0,2,-3,-2,ENTP
2099,0,0,2,2,-1,0,-3,0,0,0,2,-1,2,2,0,0,2,1,0,-3,0,-1,0,0,-3,-2,1,1,1,0,1,0,-1,0,3,-1,0,-2,3,0,1,-2,-1,2,-1,0,1,0,-2,1,0,1,1,0,2,0,0,2,-1,1,INTP
2100,0,0,0,1,2,1,-1,0,1,0,1,-1,-2,-2,1,0,0,-1,2,-1,0,-2,0,0,0,0,-1,0,-3,1,2,0,2,0,-1,1,2,2,-1,2,1,-1,0,1,-1,0,-1,0,0,0,0,0,1,0,0,0,0,-3,0,-2,ESTP
2101,0,1,3,0,2,1,1,0,2,0,0,0,-1,-1,0,-3,0,-1,0,0,0,0,0,0,0,0,2,0,1,-1,1,0,1,0,0,-1,-2,1,-2,0,2,0,2,2,1,0,0,0,-2,0,0,0,1,0,-1,0,0,-1,1,-3,ESTP
2102,0,0,1,0,2,1,-1,0,1,0,-1,2,0,-1,1,0,0,0,1,3,0,3,-1,0,3,0,0,0,-2,1,-1,0,-1,0,1,-1,0,1,1,1,1,-2,-2,0,2,0,-1,0,3,0,0,0,1,0,1,0,0,2,-1,-1,ESFJ
2103,-1,0,-2,0,1,3,2,0,1,0,-1,-1,0,1,0,-2,-3,-3,2,3,0,-1,0,0,0,3,2,0,-1,0,-1,0,1,0,1,-3,0,0,2,-1,0,-1,-1,3,-1,0,2,0,1,0,0,0,-1,0,-1,0,-1,-1,3,-1,ENFJ
2104,0,-1,-2,1,-1,-1,-2,-1,-2,0,-2,-1,2,1,-2,2,2,1,2,-1,0,-1,0,0,1,1,2,0,0,0,-1,0,-1,0,1,2,0,-1,1,-2,1,0,0,0,0,0,1,0,2,-1,0,0,0,0,0,0,0,1,-2,-1,ENTP
2105,0,0,1,0,-3,0,-2,0,-1,0,2,0,-2,-1,2,-2,2,-2,-1,0,0,0,0,1,0,-1,0,0,3,1,1,0,-2,0,-3,1,1,1,1,-1,0,-1,-1,0,0,0,-2,0,2,0,0,0,0,0,-2,0,0,-2,1,-1,ISTP
2106,0,0,-2,0,0,2,-1,0,0,0,-2,1,-1,1,-3,-2,2,-2,3,0,0,2,0,0,0,0,-2,1,-1,-1,0,0,-3,0,-1,2,0,0,-2,1,-1,-1,0,1,-1,0,-1,0,-3,0,0,0,2,0,-1,0,-1,-1,-1,1,ENTP
2107,0,0,1,-1,2,1,-1,0,0,0,0,-1,-3,0,2,-3,0,-3,-1,1,0,0,0,0,-2,-1,3,0,1,1,2,0,2,0,-1,0,-1,1,-2,-2,0,0,1,2,2,0,2,0,0,1,-1,0,0,0,2,0,0,-2,-1,0,ESTP
2108,0,0,-2,-2,-1,2,-2,0,1,0,-2,2,-1,1,0,-2,-3,1,2,2,-1,1,0,0,1,0,-1,0,-1,0,1,0,-1,0,-3,1,3,2,1,-2,2,2,-1,0,1,0,1,0,0,0,0,0,-1,0,1,0,0,-3,-1,0,ISFP
2109,0,0,0,1,0,2,1,0,-3,0,3,0,0,2,-1,0,0,1,0,0,0,2,0,0,-2,1,-2,0,3,-1,2,0,-3,0,-1,-1,0,1,2,1,0,1,0,1,-2,0,3,0,2,0,0,0,0,0,1,0,1,2,1,0,ESFJ
2110,0,0,2,0,0,0,0,0,3,0,1,2,2,1,1,0,1,1,-1,1,-1,2,0,0,-2,-1,3,0,3,-3,1,0,1,0,2,0,-3,-2,-2,-3,0,-1,-2,-1,-2,-1,1,0,-2,0,0,0,-1,0,-2,0,0,0,0,-1,INFP
2111,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,1,1,0,-1,-2,-1,0,-1,0,0,-1,0,1,0,-1,-1,-1,0,0,0,1,1,0,3,0,-1,3,-3,1,-1,-1,0,-2,1,-2,0,0,0,-1,0,-1,0,0,-2,0,1,ESFP
2112,0,0,1,1,-1,1,2,0,1,1,3,1,2,3,2,-2,-2,-1,3,-1,0,0,0,0,2,1,2,0,2,-3,0,0,-3,0,3,-2,-1,0,0,0,1,1,0,1,0,0,-1,0,1,0,0,0,2,0,-1,0,0,1,0,1,ENFP
2113,0,0,2,0,0,0,3,0,1,0,3,2,-2,1,1,-1,0,1,-2,-1,0,0,0,-1,1,-1,-2,0,-2,-3,-2,0,-2,0,-1,2,1,3,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,1,INFJ
2114,0,0,-1,-2,0,-2,0,0,0,0,-1,1,-2,-1,1,1,-1,1,1,-2,0,1,0,-1,-2,-2,0,0,1,0,-3,0,1,0,-1,-2,-2,1,0,1,-2,3,-1,1,-3,0,0,-1,0,-1,0,0,1,0,-2,0,-1,-2,1,0,ISFJ
2115,0,0,3,-1,0,2,1,0,3,0,3,1,0,-1,1,0,2,2,-2,0,0,3,0,1,2,-3,-1,1,-1,0,-1,0,-2,0,-3,3,1,3,-3,-1,2,-1,0,-1,0,0,2,0,-1,0,0,1,0,0,1,0,0,2,2,2,INFJ
2116,0,0,-1,-1,0,1,0,0,-1,0,-2,1,2,0,0,-1,2,2,-2,0,0,-1,0,0,2,-1,2,0,0,-1,-1,0,1,0,2,1,0,-1,2,0,2,0,0,-1,0,0,1,0,0,0,0,0,1,0,1,-1,0,-2,0,1,ENTJ
2117,0,0,0,0,1,1,-3,0,-1,0,-2,0,-1,-1,1,1,1,0,3,2,0,2,0,0,1,3,0,0,-1,2,-1,0,2,0,-1,0,0,0,2,3,0,1,-2,-3,1,0,3,0,-1,0,0,-1,2,0,1,0,0,1,-1,-1,ESFJ
2118,0,0,0,-1,3,1,1,0,1,0,1,-2,1,-2,1,3,1,2,-2,-1,0,2,0,0,0,2,-2,-1,1,1,3,0,-1,0,-1,-2,-1,-3,1,1,3,-2,0,2,0,0,-1,0,-1,0,0,0,2,1,1,0,0,1,-2,0,ISTJ
2119,-1,0,3,3,2,0,0,0,-1,0,-1,-1,-2,2,2,2,-3,0,-3,1,0,0,0,0,0,0,-1,0,-3,0,-2,0,0,0,2,2,-1,-1,-1,0,-3,-1,2,1,-2,0,-3,-1,2,0,0,1,-1,0,-1,0,0,0,0,0,ENFP
2120,1,-1,3,0,-1,3,-1,0,0,0,-1,-1,-2,1,1,1,1,3,-1,2,0,1,0,0,1,-2,-2,0,-2,-3,2,0,-1,0,-3,1,-1,0,2,-1,-1,0,1,2,3,0,-1,0,-3,-1,0,0,-3,0,-1,0,0,2,-1,-1,ISFP
2121,0,0,-2,-1,2,2,-2,0,0,0,-1,0,-2,1,-1,0,2,0,2,-1,0,1,0,0,-1,2,-1,1,2,-2,0,0,0,-1,-2,0,-1,3,1,0,0,-1,-2,1,-1,0,2,-1,2,0,0,0,-2,0,1,0,0,1,0,-2,ENTJ
2122,0,0,0,0,-1,0,3,0,0,0,-2,2,1,0,0,1,2,1,1,2,0,-1,0,0,1,0,1,0,1,-1,-2,0,2,0,-1,1,0,-1,0,1,0,-2,-2,0,-1,0,0,0,0,0,0,1,3,-1,1,0,0,1,2,2,INFJ
2123,0,1,-2,0,1,1,0,1,-2,1,-2,1,1,-2,-1,-1,-1,-1,-1,0,0,-1,0,0,0,1,-1,0,1,1,1,0,2,1,-1,-2,-2,-1,0,-2,-2,-1,2,-1,0,1,0,0,-2,0,0,0,-2,0,1,0,0,0,1,0,INFP
2124,0,0,2,0,1,1,2,0,0,0,2,-1,-1,-2,0,2,0,1,0,0,0,0,0,0,1,1,-2,0,3,1,1,0,2,0,-1,2,-1,-1,0,-1,-1,-2,1,0,-1,0,-2,1,-1,-1,0,0,2,0,3,0,-1,1,-2,0,ISTJ
2125,0,0,-1,-2,-1,1,2,0,-1,0,-1,0,1,0,0,-3,2,-2,-1,1,0,1,0,0,1,2,0,0,0,2,1,0,1,0,-2,-1,-2,-2,0,-3,-1,1,0,1,1,0,2,0,0,-1,0,0,0,0,2,0,0,-2,0,-3,INFP
2126,0,0,1,1,1,-1,1,0,-1,0,1,2,-1,1,-3,-2,1,2,-3,1,0,-1,0,0,2,0,-2,0,2,0,0,0,2,0,2,0,0,0,0,-1,-2,0,-2,1,-1,0,-1,0,-1,0,0,0,-1,0,1,0,0,1,-1,-2,ENFJ
2127,0,0,-1,2,1,2,3,0,-2,1,-3,-1,0,0,-2,-2,-2,2,-1,-2,0,2,0,-1,1,-2,0,1,0,0,1,0,2,0,-1,2,2,2,3,1,2,1,-1,0,-1,1,0,0,3,0,0,0,0,0,-1,0,0,-2,0,-1,ENTJ
2128,0,0,2,1,1,-2,0,0,0,0,0,1,1,1,-1,-1,0,2,0,2,0,-1,1,0,1,0,-2,0,1,0,-1,0,1,0,1,0,1,0,-1,2,-1,0,-1,1,2,0,1,0,-1,0,0,-1,-1,0,1,0,1,1,-1,2,ENFJ
2129,-1,0,-3,2,-2,0,-2,0,-3,-1,0,-1,2,-1,-2,3,1,0,0,-2,0,-3,0,0,1,0,-1,1,-1,-1,-1,-1,0,0,1,2,1,0,-1,-1,0,-2,1,-2,-1,0,3,0,2,-1,0,0,-1,1,-2,0,0,0,2,-2,ENTP
2130,0,0,-2,0,-2,0,2,0,-2,0,1,2,0,0,-2,2,2,-1,-2,0,0,2,0,0,0,0,0,1,1,-3,-1,0,-2,0,0,0,-2,-1,1,-1,-2,1,0,1,-2,0,0,0,-1,0,0,0,0,-1,-2,0,0,1,1,0,ESTJ
2131,0,0,0,-1,1,0,-1,0,-1,0,-2,1,0,-1,-1,0,0,-2,1,-3,0,2,0,0,-2,-3,-1,0,0,0,-2,0,-1,0,-3,1,2,0,-1,-1,1,-1,1,-1,-3,0,-1,-1,-3,0,0,-1,2,0,-1,0,0,-1,2,0,ESTJ
2132,0,0,2,-3,-2,1,-1,-1,2,0,0,1,-1,-2,2,-1,0,-1,2,-1,0,-3,0,-1,1,0,2,0,0,0,-1,0,1,-1,2,-1,0,2,0,1,3,-2,1,1,1,0,1,0,0,0,0,0,-1,0,2,0,0,-2,3,-1,ESTP
2133,0,0,0,0,-2,1,-2,0,1,0,-2,0,1,-2,-2,3,3,1,-1,0,0,1,0,0,1,0,3,0,1,0,1,0,0,0,-1,-2,-2,-2,0,0,-2,-1,-2,2,2,0,-1,0,1,0,0,0,-2,0,-2,0,0,-2,2,1,INFP
2134,0,0,0,0,0,1,-1,0,-2,1,-2,0,1,-2,-1,-2,2,1,2,-1,0,2,0,1,0,-2,0,0,0,-1,-1,1,0,0,-1,0,-2,1,-2,-2,2,-3,-1,-2,-1,0,-2,0,-3,0,0,0,2,0,0,0,0,-1,1,-1,ESTJ
2135,0,0,2,0,-1,0,-1,0,2,0,-1,0,0,1,0,1,0,0,3,-2,0,-2,0,0,-2,-2,-2,0,1,1,1,0,3,0,3,-2,-2,0,0,3,2,2,-2,1,0,0,1,1,0,0,0,0,2,0,1,0,0,2,1,-2,ESTP
2136,0,0,-2,0,-2,-2,0,0,2,0,-1,1,0,2,1,-2,1,-1,2,-1,0,2,-1,0,1,1,1,0,-1,0,2,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,2,0,1,0,0,1,-1,0,ENTP
2137,0,0,3,1,0,0,-1,-1,0,0,1,0,1,2,-1,-1,2,1,-2,2,0,-3,-1,0,2,3,-2,0,1,0,-3,0,3,0,3,-1,0,0,0,3,0,-3,-2,1,1,-1,1,0,-1,0,0,-1,-1,0,1,0,0,-1,0,1,ENFJ
2138,0,0,0,-1,0,1,-2,0,1,0,0,2,2,1,-1,0,0,1,0,1,0,2,0,-1,0,0,-2,0,-2,-1,-3,0,0,0,-1,-1,-1,-1,2,-1,0,1,0,-2,2,1,1,0,0,0,0,0,-2,0,0,0,0,0,1,-1,ISFP
2139,0,0,-3,2,-2,-2,-3,0,2,0,-3,1,0,3,1,-1,1,-2,2,-1,0,0,0,1,2,1,1,0,-3,-2,2,0,-2,0,3,1,1,-1,2,0,-1,0,-2,0,0,0,2,1,-2,0,0,0,0,1,1,1,0,1,0,0,ENTP
2140,0,0,-3,-3,0,2,-2,1,-3,0,0,1,-1,0,-1,-1,2,-2,1,-2,1,2,0,0,-2,-2,-3,0,0,1,1,0,-1,0,0,3,0,1,-3,-1,0,2,0,1,2,0,1,0,-1,0,0,0,0,0,-2,-1,0,1,-1,-2,ESTJ
2141,0,0,0,-1,2,-1,-1,0,0,0,0,-2,0,-2,2,2,-1,-1,1,1,0,0,0,0,-2,0,1,0,-1,0,0,0,-1,0,2,-1,0,1,-3,1,-1,1,1,2,2,0,1,0,1,0,0,0,-2,0,1,0,0,-1,1,0,ESTP
2142,0,0,-2,-1,1,1,0,-1,1,0,-1,1,-2,-1,2,1,-1,-3,-1,1,0,-1,0,0,1,0,1,1,0,1,1,0,1,0,-1,-3,-1,3,1,1,2,-2,1,1,1,0,1,0,-1,0,0,0,2,0,0,0,-1,0,0,-2,ESFJ
2143,0,0,-1,0,-1,2,-3,0,0,0,2,-1,0,-1,0,2,-1,0,-2,-1,0,-1,0,0,-1,-2,0,0,-1,-2,-2,0,-1,0,0,-2,-3,-1,-1,2,1,-3,0,1,-1,0,2,0,0,0,0,0,0,0,-1,-1,0,-2,1,3,ESTJ
2144,0,0,-1,0,-2,0,1,1,0,0,-1,-1,3,2,1,1,2,2,2,0,0,-2,0,0,2,0,0,-1,-3,1,-1,0,0,0,-3,-2,2,-1,0,-2,0,-2,-1,-1,1,0,1,0,0,1,0,0,-1,0,-1,0,-1,0,-3,1,ENTP
2145,0,0,-2,-1,-1,0,0,0,0,0,0,0,1,-1,0,-3,-1,-1,-3,-1,0,-3,1,0,3,0,0,0,-3,0,-3,0,-2,0,1,-1,0,2,1,-2,2,0,2,-3,-3,0,-2,0,-1,0,0,0,-1,0,-1,0,0,-1,0,2,ESFP
2146,0,0,1,1,-1,1,-2,0,1,0,0,0,-1,2,2,-1,0,0,-2,0,0,2,0,0,-2,1,-2,0,-1,1,0,0,2,0,-2,1,-2,0,0,1,-1,0,0,2,-3,0,-1,0,2,0,0,0,1,0,1,0,0,0,0,3,INTJ
2147,0,0,0,1,0,1,2,0,-2,1,1,-1,0,1,0,-2,-1,1,1,3,0,3,1,0,1,1,2,0,0,2,-1,0,-1,0,0,2,0,1,2,-1,0,0,-1,3,1,0,-2,0,1,0,0,0,0,0,-1,0,0,-1,0,-3,ISTP
2148,0,-1,-1,-1,1,-2,-2,0,3,1,1,-2,0,-2,1,2,0,-2,2,1,0,2,0,-1,-2,1,0,0,0,0,0,0,0,0,2,0,-2,0,1,-2,0,0,-2,0,2,0,0,0,1,0,-1,0,-1,0,0,0,0,0,1,-3,INTJ
2149,-1,0,0,0,0,1,0,0,1,0,-2,-2,0,-2,0,-3,0,-2,-1,-1,0,-1,0,0,-1,2,-1,0,1,0,1,0,0,0,-2,-1,-2,2,2,-3,-2,1,3,1,-2,0,1,0,-1,0,-1,0,-2,0,3,0,0,-2,0,-2,INFP
2150,0,0,1,1,-2,2,-1,0,1,0,-1,0,-1,-1,1,0,0,0,-1,2,0,1,1,0,-2,-2,0,0,1,-2,-1,0,0,0,2,-1,1,1,-3,-1,-2,0,-1,0,1,0,3,0,2,0,0,0,1,0,2,0,0,2,-1,-2,INFJ
2151,0,0,3,1,-2,1,-2,0,2,0,-1,1,0,-2,0,1,0,-1,-2,0,0,1,0,1,-1,-2,1,0,2,-3,-1,0,0,0,1,1,0,2,-2,0,-1,3,1,1,-1,0,3,0,2,-1,0,0,0,0,3,1,0,-1,-1,0,INFJ
2152,0,0,-3,-3,0,2,-2,0,3,0,-2,3,-3,-1,2,2,-2,-1,1,-1,0,3,0,0,0,3,2,0,-3,-2,-3,0,1,0,-2,-2,0,2,1,0,2,-2,-1,2,-1,0,-1,0,-3,0,1,0,3,0,0,0,0,2,0,0,ESFJ
2153,1,0,1,-1,0,-3,-1,0,-1,0,-1,3,-2,0,0,1,2,1,0,0,0,1,0,0,-1,-1,-2,0,1,-2,-3,0,3,1,-2,-3,-1,1,-2,1,-1,2,-1,3,-1,0,1,-1,0,0,0,0,0,0,-1,0,0,-3,0,2,ISFJ
2154,0,0,0,-2,1,-1,-1,0,-1,0,-1,-2,0,0,1,-1,-2,-2,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,3,0,2,-1,-1,0,0,-1,-1,1,-1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-1,-2,ENFJ
2155,0,0,-1,-2,1,2,2,0,-1,0,-2,-2,-1,-1,0,-2,1,0,0,-3,-1,1,0,0,0,2,-1,-1,1,1,3,1,-1,0,-2,-2,-2,0,1,-2,0,1,1,0,3,0,1,0,-1,0,0,0,0,0,0,0,0,0,-2,-1,INFP
2156,0,0,3,0,3,-1,-1,1,2,0,3,2,1,2,-1,1,-1,1,-2,2,0,-2,0,0,0,0,0,0,2,2,-2,0,-2,0,-1,-2,1,3,1,2,0,-1,-2,-1,3,0,2,0,-1,0,0,0,-3,1,0,0,0,1,-1,1,ENFJ
2157,0,0,1,0,2,2,-1,0,2,0,1,2,-2,3,2,0,-1,2,-1,2,0,1,0,0,2,1,-2,-1,-2,-2,-1,0,-2,0,-1,2,2,1,0,1,2,-1,0,-1,0,0,-1,0,-1,0,0,0,1,1,0,0,0,0,0,0,INFJ
2158,0,-1,0,2,0,-2,-2,0,2,0,0,-2,-1,1,2,-1,2,0,-1,-1,0,0,-1,0,1,3,0,0,0,0,-1,0,1,0,-2,0,-2,0,-1,-1,1,0,0,-1,-1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,INTJ
2159,0,0,0,-2,3,0,0,0,0,0,-1,2,0,-3,-1,-3,-2,-1,0,-1,0,0,0,0,-1,1,-1,0,1,-2,0,0,1,-1,1,1,0,-2,0,2,1,0,1,-1,-3,0,1,0,1,0,0,0,1,0,-2,0,0,-2,-1,0,ENTJ
2160,0,0,2,-1,1,-1,-1,0,1,0,-3,2,1,-3,-1,-3,0,0,0,-2,0,2,0,0,-3,-2,-2,0,2,0,3,0,0,-1,-1,0,2,0,1,-1,-2,-2,-1,2,-2,0,1,0,2,1,0,0,0,0,1,-1,0,-2,-1,-2,INFP
2161,0,0,-2,-2,-2,0,-1,0,-1,-1,-1,1,-1,-2,-1,0,-1,0,0,-1,0,0,0,1,0,2,0,1,-1,1,0,0,-3,-1,2,0,-2,-1,1,-1,1,3,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,-1,1,1,INTJ
2162,0,0,1,1,0,0,2,0,-1,0,1,0,1,1,0,0,-2,-1,1,-1,0,-1,0,0,3,1,1,1,-2,0,1,0,-2,0,2,-1,-1,-1,1,-1,1,2,1,2,1,0,1,0,1,0,0,0,1,0,-2,0,-1,1,0,-3,ENFP
2163,0,0,-2,0,1,2,0,0,1,0,-2,1,0,-2,0,1,0,0,3,3,1,0,0,-1,2,1,0,1,-1,1,-2,0,0,-1,-1,0,0,0,2,3,1,-2,0,-2,2,0,0,0,0,0,1,0,0,0,3,0,0,0,-1,-1,ESFJ
2164,0,0,-1,1,-2,-2,-2,0,1,0,-2,1,-2,1,1,-1,2,-2,0,1,0,0,0,0,-1,-1,2,0,-3,-1,0,0,0,0,0,1,1,-1,0,0,-2,1,-1,0,0,0,-2,0,-3,0,0,0,2,0,2,1,0,2,-2,-1,ENTP
2165,-1,0,1,0,2,0,0,0,-2,0,-2,0,2,-3,-1,0,1,0,0,-1,0,2,0,0,0,0,-1,0,1,-2,0,0,-1,0,1,0,2,-1,1,-2,2,-1,-1,-1,0,0,1,0,0,0,0,0,1,0,-2,0,1,-3,-2,0,ENTJ
2166,0,0,-2,-2,-3,1,-1,0,0,0,1,3,-1,1,3,0,-2,0,2,2,0,1,0,0,1,0,0,0,-1,0,-1,0,-1,0,1,0,1,2,0,0,0,0,-2,1,-1,0,1,0,2,0,0,0,-2,0,0,0,0,-1,0,1,ISFP
2167,0,0,1,3,0,0,0,0,2,0,-1,0,0,-1,1,0,0,1,0,-2,0,1,0,0,1,2,-1,-1,0,0,1,0,0,0,2,0,0,-1,1,2,-1,-3,-2,0,1,0,0,0,-1,0,0,0,0,0,2,0,0,1,-2,-3,ENTP
2168,0,-1,2,-3,2,1,-1,0,3,0,2,0,-1,-2,1,-1,-1,-1,2,0,0,-2,0,0,-1,-3,1,0,-1,1,0,0,2,0,3,-1,-2,1,-3,0,3,0,2,1,2,0,1,0,-1,0,0,1,-1,0,1,0,0,-1,3,-2,ESTP
2169,0,0,-1,-2,-1,-2,-1,0,-2,0,-1,2,0,0,2,2,2,1,1,0,0,2,0,-1,-1,1,-2,1,1,0,-2,0,3,0,-1,2,-1,1,1,-2,-3,1,0,0,-2,0,2,0,0,0,0,0,-2,0,0,0,0,1,0,3,ISFJ
2170,0,0,-1,0,-1,-1,-2,0,-2,0,-1,0,-1,-2,-1,1,2,-2,-1,-3,0,3,0,-1,-1,-3,0,0,-1,-2,-2,0,-2,0,1,-1,-1,0,0,0,-2,0,0,0,0,0,0,0,-1,0,1,-1,-1,0,-1,0,0,1,1,1,ESTJ
2171,0,0,-1,0,1,-1,0,0,1,0,-1,-1,1,-1,-3,-1,2,1,1,0,0,-2,0,0,-1,2,1,1,0,1,1,0,1,-1,-2,1,1,1,1,0,0,0,0,2,-1,0,1,0,0,1,0,0,-1,0,1,0,0,2,1,-2,ENTJ
2172,0,0,-2,-2,2,2,0,0,0,0,-2,-3,0,0,0,1,2,0,2,-3,0,-2,0,0,-1,2,1,0,3,0,1,0,-2,0,-1,2,0,1,3,-2,2,-2,0,1,-2,0,1,0,1,0,0,1,-2,0,0,-1,0,2,2,-2,ENTJ
2173,0,-1,-1,1,2,0,0,0,0,1,-2,0,0,-1,-2,-2,1,-2,2,0,0,0,0,0,-1,0,0,1,-2,1,-1,0,-1,0,0,-1,-1,1,-1,1,-2,-1,-2,-1,-2,0,-3,-1,0,0,0,0,0,0,-1,0,0,-1,1,0,ESTJ
2174,0,0,3,1,-2,-2,0,0,2,0,1,0,1,-1,3,-2,-3,0,-2,-2,0,-2,-1,0,0,0,-2,1,1,1,-1,0,1,0,0,-3,3,-1,0,3,-3,3,0,1,1,0,1,0,-3,1,0,0,-2,0,2,0,0,0,-2,3,ENFJ
2175,0,1,2,2,1,-2,-2,0,1,0,2,-1,-3,0,1,-2,0,-2,1,2,-1,2,0,0,-1,-2,3,-1,-1,-1,1,1,-1,0,2,1,0,0,-3,-1,1,1,1,3,2,0,1,1,0,0,-1,0,0,0,2,0,0,-2,-2,0,ESTP
2176,0,0,-2,-2,2,1,-1,0,0,0,0,3,0,1,0,1,-1,-2,0,-2,0,1,0,0,1,1,-2,0,0,-2,-3,0,-2,0,1,0,-1,-1,-1,-1,1,2,-1,-1,0,0,1,1,1,0,0,0,3,0,0,0,0,-3,2,-1,ESTJ
2177,0,0,3,0,0,1,-2,0,0,0,-1,-3,2,1,0,0,1,-2,-1,-3,0,2,0,0,-1,-1,1,0,1,2,2,0,0,0,3,-3,3,-1,-1,0,3,0,0,0,-1,0,2,0,-3,0,-1,0,0,0,1,0,0,2,-3,-1,INTP
2178,0,0,-1,-1,-2,-1,0,0,-1,1,2,-2,1,1,1,-1,-2,0,0,2,0,0,0,0,2,2,1,0,0,3,-1,0,0,0,0,1,0,1,1,0,1,-1,-2,1,-2,1,-1,0,1,0,0,0,2,1,0,0,0,-2,-1,0,ISTP
2179,0,0,1,1,-2,-1,-2,0,0,0,-2,-2,0,0,0,0,-3,1,0,1,0,-1,0,0,-3,-2,2,0,1,0,-3,0,-3,0,-3,-1,-2,-1,2,-3,1,-1,1,1,3,0,-1,0,-1,0,0,1,-1,-1,2,0,0,1,2,3,ENFP
2180,-1,0,0,1,-1,-2,-1,0,-2,0,1,-1,-1,2,2,-2,-2,-1,0,2,1,2,1,0,0,-1,-1,0,1,-1,0,-1,-2,0,-2,3,1,0,2,0,0,-1,-1,2,1,0,0,0,1,0,0,0,-1,0,1,0,0,-2,-3,-2,ISTP
